Collect_dt,Sampling,Lat,Lon,geometry,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,sn_ph_upper,sn_ph_lower,sn_P,sn_DO,sn_CL,sn_FEC,sn_TDS,sn_NH3,sn_F,sn_SO4,vo_ph,vo_DO,vo_NH3_N,vo_Tot P,vo_TDS,vo_FEC_COL,vo_Cl,vo_F,vo_SO4,vo_As sol,vo_Ba tot,vo_Cu sol,vo_Fe sol,vo_Mn sol,vo_Ni sol,vo_Zn sol,vo_Hg LL,vo_Ca tot,vo_Mg tot,vo_Hardness,vo_B tot,vo_CN,Q_pH,sn_ph_eff,k_const,Wn_ph,WQI,year,month,Q_DO,Q_Cl,Q_FEC_COL,Q_TDS,Q_NH3_N,Q_F,Q_SO4
2020-01-06,WW_109,41.82281111,-87.84154444,POINT (-87.84154444 41.82281111),11.97,8.0,4.665,0.3,1.0,0.676,762.0,8.0,4.0,5.5,0.005,540.0,3.7,253.402,0.234,75.835,218.0,0.002,0.035,0.00253,0.05911,0.02749,0.00436,0.01127,1.499,78.78,31.8,328.0,0.1201,9.5,6.5,0.05,5,500,200,1500,8.407577998275155,19.0848773827629,1764.1762359000002,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.40271210645564,0.46757070215188,10.457891199213785,2020,1,27.39583333333332,50.68039999999999,270.0,50.8,3.5682095374142957,1.2261016683887336,4.298606820384502
2020-01-06,WW_109,41.82283333,-87.84156667,POINT (-87.84156667 41.82283333),11.97,8.0,4.665,0.3,1.0,0.676,762.0,8.0,4.0,5.5,0.005,540.0,3.7,253.402,0.234,75.835,218.0,0.002,0.035,0.00253,0.05911,0.02749,0.00436,0.01127,1.499,78.78,31.8,328.0,0.1201,9.5,6.5,0.05,5,500,200,1500,8.407577998275155,19.0848773827629,1764.1762359000002,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.40271210645564,0.46757070215188,10.457891199213785,2020,1,27.39583333333332,50.68039999999999,270.0,50.8,3.5682095374142957,1.2261016683887336,4.298606820384502
2020-01-06,WW_22,41.82093333,-87.8109,POINT (-87.8109 41.82093333),12.34,8.1,3.066,0.3,1.0,0.255,536.0,15.0,4.0,4.5,0.005,480.0,6.5,148.12,0.178,50.898,220.0,0.001,0.03317,0.00169,0.06901,0.01352,0.00192,0.0067,1.955,67.47,30.08,292.0,0.06985,9.5,6.5,0.05,5,500,200,1500,6.948317540274035,17.924808839421072,1734.996354,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.3490093564899515,0.4496697854966505,8.997732184834419,2020,1,23.541666666666664,29.624,240.0,35.733333333333334,4.317591967568141,0.9930370895143614,2.9336084702803933
2020-01-06,WW_23,41.73564167,-87.88147778,POINT (-87.88147778 41.73564167),11.68,8.1,3.132,0.3,1.0,0.266,606.0,14.0,4.0,4.3,0.005,270.0,7.4,155.725,0.178,51.239,218.0,0.00104,0.03298,0.00177,0.07104,0.01467,0.00181,0.00774,1.846,67.43,29.69,291.0,0.0693,9.5,6.5,0.05,5,500,200,1500,6.948317540274035,17.891670893276977,1724.2138387500001,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.3488147852863077,0.44960492842876926,10.151547534964703,2020,1,30.416666666666668,31.145,135.0,40.4,4.317591967568141,0.994876336937797,2.9717311651521503
2020-01-06,WW_91,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667),12.69,8.2,3.05,0.3,1.0,0.19,614.0,13.0,4.0,4.2,0.005,130.0,7.8,170.535,0.184,54.356,216.0,0.002,0.03367,0.0019,0.06217,0.01137,0.00171,0.007,1.92,70.6,31.14,305.0,0.0778,9.5,6.5,0.05,5,500,200,1500,5.727034268294239,18.350941724498437,1760.3108282500004,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.297569477153434,0.4325231590511447,6.968891074678837,2020,1,19.895833333333336,34.107,65.0,40.93333333333333,5.238313338909933,1.0026733383080864,3.087863752678134
2020-01-06,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),8.05,7.4,5.394,0.364,1.0,0.856,656.0,9.0,4.0,3.8,0.006,120.0,1.3,214.027,0.343,84.406,155.0,0.00126,0.02485,0.00154,0.05743,0.01987,0.00244,0.01244,1.162,61.47,22.89,248.0,0.14057,9.5,6.5,0.05,5,500,200,1500,22.97162836819467,16.413237710370787,1515.05032965,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.5477038662121012,0.5159012887373671,22.07115276149168,2020,1,68.22916666666666,42.80539999999999,60.0,43.733333333333334,1.5845633324974715,2.0897765940675663,5.571168056146299
2020-01-13,WW_112,42.04098056,-87.70971944,POINT (-87.70971944 42.04098056),11.0,7.7,0.621,0.3,1.0,0.15,434.0,9.0,4.0,2.3,0.005,150.0,3.7,132.825,0.113,52.732,141.0,0.002,0.02672,0.00216,0.04586,0.0078,0.00118,0.01045,1.764,50.59,17.89,200.0,0.04196,9.5,6.5,0.05,5,500,200,1500,14.440758373310166,14.615127296775627,1420.10308375,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.4719413992129255,0.4906471330709752,11.991606599147989,2020,1,37.49999999999999,26.564999999999998,75.0,28.933333333333334,2.0774532212551167,0.7731715072021982,3.7132515662703205
2020-01-13,WW_36,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),10.41,7.3,5.629,0.3,1.088,0.511,1112.0,8.0,5.0,2.5,0.007,7700.0,1.0,473.318,0.357,55.688,209.0,0.002,0.03864,0.00327,0.03326,0.00439,0.00235,0.0225,0.911,77.62,28.34,311.0,0.13909,9.5,6.5,0.05,5,500,200,1500,26.213894625012077,18.544792425229527,1495.0413881,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.5779339700792907,0.5259779900264302,44.76262796762167,2020,1,43.64583333333333,94.66359999999999,3850.0,74.13333333333334,1.1444312426347893,1.925068729884052,3.7248467128239233
2020-01-13,WW_96,41.97428333,-87.70614444,POINT (-87.70614444 41.97428333),12.37,8.0,1.197,0.3,1.0,0.15,726.0,31.0,6.0,3.4,0.005,860.0,8.0,285.84,0.1,45.835,196.0,0.002,0.03533,0.00236,0.06632,0.01574,0.00112,0.00569,8.09,63.55,26.43,268.0,0.05905,9.5,6.5,0.05,5,500,200,1500,8.407577998275155,17.11444935638093,1518.6438280000002,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.390764567995896,0.46358818933196533,10.29578588751004,2020,1,23.229166666666675,57.16799999999999,430.0,48.4,3.5682095374142957,0.5843015916998587,3.018153378357522
2020-01-13,WW_73,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833),10.59,7.5,4.007,0.537,1.239,0.405,1166.0,15.0,4.0,2.6,0.008,10000.0,4.8,532.411,0.217,50.872,209.0,0.002,0.03911,0.00293,0.06209,0.01601,0.00175,0.01379,2.57,71.73,27.6,293.0,0.09014,9.5,6.5,0.05,5,500,200,1500,19.89020436226586,17.957894554939152,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.5456862671849385,0.5152287557283128,52.278168887252505,2020,1,41.770833333333336,106.48219999999998,5000.0,77.73333333333333,2.699821430788084,1.208382192779477,
2020-01-13,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),9.71,7.5,4.132,0.3,1.0,0.69,474.0,40.0,7.0,3.7,0.005,5700.0,3.8,148.34,0.243,57.114,125.0,0.00124,0.02599,0.00158,0.13761,0.02202,0.00248,0.01191,11.281,49.14,18.37,198.0,0.09785,9.5,6.5,0.05,5,500,200,1500,19.89020436226586,14.536110856037867,1398.2492030000003,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.5133506821501699,0.50445022738339,37.397403611988146,2020,1,50.93749999999999,29.668,2850.0,31.6,1.5082801289318906,1.671698863654889,4.084679603425455
2020-01-13,WW_37,41.96484722,-87.69722778,POINT (-87.69722778 41.96484722),11.21,7.5,3.643,0.33,1.13,0.416,1040.0,19.0,6.0,2.6,0.007,8600.0,4.7,476.092,0.219,51.539,200.0,0.002,0.03863,0.00297,0.06436,0.0131,0.00174,0.01456,5.842,69.66,26.85,285.0,0.0886,9.5,6.5,0.05,5,500,200,1500,19.89020436226586,17.691731523260156,1399.3290714,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.541986252464824,0.5139954174882747,44.648478786336426,2020,1,35.31249999999999,95.21839999999999,4300.0,69.33333333333333,1.6591081418250795,1.2378663994085053,3.683122222883306
