Collect_dt,Sampling,Lat,Lon,geometry,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,sn_ph_upper,sn_ph_lower,sn_P,sn_DO,sn_CL,sn_FEC,sn_TDS,sn_NH3,sn_F,sn_SO4,vo_ph,vo_DO,vo_NH3_N,vo_Tot P,vo_TDS,vo_FEC_COL,vo_Cl,vo_F,vo_SO4,vo_As sol,vo_Ba tot,vo_Cu sol,vo_Fe sol,vo_Mn sol,vo_Ni sol,vo_Zn sol,vo_Hg LL,vo_Ca tot,vo_Mg tot,vo_Hardness,vo_B tot,vo_CN,Q_pH,sn_ph_eff,k_const,Wn_ph,WQI,year,month
2015-01-05,WW_109,41.82281111,-87.84154444,POINT (-87.84154444 41.82281111),11.3,7.62,5.864,0.22,1.9,1.04,1112.0,21.0,6.0,27.2,0.01,4300.0,14.2,517.0,0.33,63.4,144.0,0.02,0.0325,0.005,0.1,0.0317,0.005,0.0183,1.161,62.8499,,,0.136,9.5,6.5,0.05,5,500,200,1500,16.491568726758107,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.66213169186843,0.5540438972894767,29.855397187131324,2015,1
2015-01-05,WW_109,41.82283333,-87.84156667,POINT (-87.84156667 41.82283333),11.3,7.62,5.864,0.22,1.9,1.04,1112.0,21.0,6.0,27.2,0.01,4300.0,14.2,517.0,0.33,63.4,144.0,0.02,0.0325,0.005,0.1,0.0317,0.005,0.0183,1.161,62.8499,,,0.136,9.5,6.5,0.05,5,500,200,1500,16.491568726758107,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.66213169186843,0.5540438972894767,29.855397187131324,2015,1
2015-01-05,WW_22,41.82093333,-87.8109,POINT (-87.8109 41.82093333),7.4,7.6,5.522,0.18,1.46,0.85,1094.0,18.0,6.0,10.3,0.013,2300.0,10.8,511.0,0.3,73.5,157.0,0.02,0.0374,0.005,0.1,0.0311,0.005,0.0174,0.864,63.4622,,,0.125,9.5,6.5,0.05,5,500,200,1500,17.03220135900219,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.667466170331176,0.5558220567770586,35.125292722141786,2015,1
2015-01-05,WW_91,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667),13.0,7.92,7.7,0.1,1.2,1.09,906.0,27.0,6.0,5.1,0.008,3500.0,30.5,355.0,0.38,83.72,214.0,0.02,0.0418,0.005,0.1,0.037,0.005,0.0169,1.168,81.6004,,,0.222,9.5,6.5,0.05,5,500,200,1500,9.764124911164679,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.5542050812312473,0.5180683604104158,19.226278138029237,2015,1
2015-01-05,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),8.8,7.65,7.233,0.74,1.86,1.2,600.0,17.0,4.0,4.6,0.005,340.0,4.3,147.0,0.63,109.34,172.0,0.02,0.0232,0.005,0.1,0.0316,0.005,0.0218,,65.7127,,,0.235,9.5,6.5,0.05,5,500,200,1500,15.701264905963674,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.6537422950746092,0.5512474316915364,22.026138475310503,2015,1
2015-01-12,WW_36,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),8.9,7.41,7.368,2.77,3.87,1.94,1096.0,5.0,4.0,3.9,0.005,4900.0,0.8,523.0,0.74,60.98,160.0,0.02,0.0265,0.0058,0.1,0.0232,0.005,0.0357,,60.2713,,,0.163,9.5,6.5,0.05,5,500,200,1500,22.655076245669626,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.7089920835413392,0.5696640278471131,42.592537220942724,2015,1
2015-01-12,WW_73,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833),6.9,7.02,8.529,1.27,2.24,1.63,684.0,8.0,4.0,4.2,0.005,13000.0,2.2,261.0,0.74,59.16,162.0,0.02,0.0239,0.005,0.1,0.0263,0.005,0.0322,,59.4279,,,0.147,9.5,6.5,0.05,5,500,200,1500,35.45737509372031,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.7568428408185044,0.5856142802728348,85.69437137551186,2015,1
2015-01-12,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.0,8.25,5.483,1.23,2.17,0.87,880.0,13.0,4.0,3.7,0.005,230.0,1.6,346.0,0.58,83.18,174.0,0.02,0.0225,0.005,0.1,0.0414,0.005,0.0218,,63.7828,,,0.17,9.5,6.5,0.05,5,500,200,1500,5.196630242602705,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.3634521841946146,0.45448406139820485,28.824145829167403,2015,1
2015-01-20,WW_100,41.88750278,-87.63414167,POINT (-87.63414167 41.88750278),10.2,7.23,4.747,0.66,1.64,0.86,614.0,4.0,4.0,2.7,0.005,3000.0,0.4,256.0,0.42,42.02,141.0,0.02,0.0295,0.005,0.1,0.0142,0.005,0.0208,0.66,56.82,,,0.082,9.5,6.5,0.05,5,500,200,1500,28.537849183684035,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.7359869905980587,0.5786623301993529,29.29893977599882,2015,1
2015-01-20,WW_108,41.8459,-87.66064167,POINT (-87.66064167 41.8459),8.6,7.25,9.509,1.16,2.2,1.5,780.0,6.0,4.0,4.0,0.005,600.0,4.3,322.0,0.69,60.54,152.0,0.02,0.0309,0.005,0.1,0.0194,0.005,0.032,,66.84,,,0.128,9.5,6.5,0.05,5,500,200,1500,27.871400983153563,,,7.0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,1.7334655540471184,0.5778218513490395,24.810736025267346,2015,1
